destination,msm_id_v4,msm_id_v6
google.com,10123016,10123017
youtube.com,10123018,10123019
facebook.com,10123020,10123021
wikipedia.org,10123022,10123023
yahoo.com,10123024,10123025
google.co.in,10123026,10123027
google.co.jp,10123028,10123029
instagram.com,10123030,10123031
google.de,10123032,10123033
google.co.uk,10123034,10123035
google.com.br,10123036,10123037
google.fr,10123038,10123039
linkedin.com,10123040,10123041
google.ru,10123042,10123043
yandex.ru,10123044,10123045
google.it,10123046,10123047
netflix.com,10123048,10123049
google.es,10123050,10123051
google.com.hk,10123052,10123053
google.com.mx,10123054,10123055
google.ca,10123056,10123057
office.com,10123058,10123059
mail.ru,10123060,10123061
blogspot.com,10123062,10123063
google.com.au,10123064,10123065
google.com.tr,10123066,10123067
wikia.com,10123070,10123071
google.com.tw,10123072,10123073
google.co.id,10123074,10123075
google.pl,10123076,10123077
xhamster.com,10123078,10123079
diply.com,10123080,10123081
google.com.ar,10123082,10123083
txxx.com,10123084,10123085
google.com.ua,10123086,10123087
google.com.pk,10123088,10123089
google.com.eg,10123090,10123091
bbc.com,10123092,10123093
bbc.co.uk,10123094,10123095
google.com.sa,10123096,10123097
cnn.com,10123098,10123099
google.co.th,10123100,10123101
thepiratebay.org,10123102,10123103
google.nl,10123104,10123105
google.co.ve,10123106,10123107
google.co.za,10123108,10123109
onlinesbi.com,10123110,10123111
blogger.com,10123112,10123113
google.gr,10123114,10123115
slideshare.net,10123116,10123117
openload.co,10123118,10123119
chaturbate.com,10123120,10123121
google.com.sg,10123122,10123123
google.se,10123124,10123125
google.com.ph,10123126,10123127
fbcdn.net,10123128,10123129
google.co.kr,10123130,10123131
google.co.ao,10123132,10123133
google.be,10123134,10123135
doubleclick.net,10123136,10123137
google.com.co,10123138,10123139
google.cn,10123140,10123141
google.az,10123142,10123143
adf.ly,10123144,10123145
google.at,10123146,10123147
uol.com.br,10123148,10123149
google.com.ng,10123150,10123151
ladbible.com,10123152,10123153
google.com.vn,10123154,10123155
messenger.com,10123156,10123157
google.ch,10123158,10123159
google.pt,10123160,10123161
gfycat.com,10123162,10123163
google.no,10123164,10123165
google.cz,10123166,10123167
